identifier	scientificName	nuc-lsu	nuc-its	mit-tub	nuc-rpb2	nuc-ef1
#gcon:defs	std	gene	gene	gene	gene	gene
MFLUCC 13-0609	Acericola italica	MF167429	MF167428
CBS 142452	Allocucurbitaria botulispora	LN907416	LT592932	LT593001	LT593070
MFLUCC 13-0349	Allophaeosphaeria muriformia	KP765681	KP765680
MFLUCC 13-0380	Allophaeosphaeria subcylindrospora	KT314183	KT314184
CBS 114595	Amarenomyces ammophilae	GU301859	KF766146
CBS 129.79	Ampelomyces quisqualis	EU754128	HQ108038
MFLUCC 17-0664	Bhatiellae rosae	MG828989	MG828873
MFLUCC 13-0365	Camarosporioides phragmitis	KX572345	KX572340
MFLUCC 16-0476	Chaetosphaeronema achilleae	KX765266	KX765265
CBS 216.75	Chaetosphaeronema hispidulum	KF251652	KF251148
CBS 105.91	Coniothyrium carteri	KF251712	KF251209
MFLUCC 11-0387	Cucurbitaria berberidis	KC506796
CBS 130007	Cucurbitaria berberidis	KC506793	LT717673	LT717676	LT854936
MFLUCC 14-0966	Dactylidina dactylidis	MG829002	MG828886
MFLUCC 13-0612	Dematiopleospora mariae	KJ749653	KJ749654
MFLU 16-0232	Dematiopleospora rosicola	MG829006	MG828888
MFLUCC 17-0828	Dematiopleospora salsolae	MG829007	MG828889
Gardiennet 12041	Didymocyrtis consimilis	KT383796	KT383813
Ertz 16399	Didymocyrtis ramalinae	KT383802	KT383838
CBS 129666	Didymocyrtis xanthomendozae	JQ238634	KP170651
MFLUCC 14-0976	Embarria clematidis	MG828987	MG828871
MFLUCC 14-0522	Equiseticola fusispora	KU987669	KU987668
MFLUCC 14-0524	Galiicola pseudophaeosphaeria	KT326693	KT326692
MFLUCC 13-0070	Hawksworthiana alliariae	KX494877	KX494876
MFLUCC 14-0910	Hawksworthiana clematidicola	MG829011	MG828901
MFLUCC 14-0959	Italica achilleae	MG829013	MG828903
MFLUCC 13-0606	Juncaceicola achilleae	KX449526	KX449525
MFLUCC 16-0780	Juncaceicola luzulae	KX449530	KX449529
CBS 296.54	Juncaceicola typharum	KF251695	KF251192
KUMCC 15-0521	Leptospora galii	KX599548	KX599547
CPC 11006	Leptospora rubella	DQ195792	DQ195780
JK 5535B	Loratospora aestuarii	GU301838
MFLUCC 14-1010	Melnikia anthoxanthii	KU848204
MFLUCC 14-0614	Muriphaeosphaeria galatellae	KT438329	KT438333
CBS 109410	Neocamarosporium betae	EU754178	KY940790		GU371774
CBS 523.66	Neocamarosporium betae	EU754179	FJ426981	KT389842	KT389670
CBS 246.79	Neocamarosporium calvescens	EU754131	KY940774		KC584500
CBS 138008	Neocamarosporium goegapense	KJ869220	KJ869163
CBS 297.74	Neocucurbitaria aquatica	EU754177	LT623221	LT623238	LT623278
CBS 115979	Neocucurbitaria cava	EU754198	AY853248	LT623234	LT623273
CBS 257.68	Neocucurbitaria cava	EU754199	JF740260	KT389844	LT717681
CBS 142109	Neocucurbitaria hakeae	KY173526	KY173436	KY173613	KY173593
CBS 142791	Neocucurbitaria irregularis	LN907372	LT592916	LT592985	LT593054
CBS 121759	Neocucurbitaria keratinophila	LT623215	EU885415	LT623236	LT623275
CBS 115095	Neocucurbitaria quercina	GQ387619	LT623220	LT623237	LT623277
UTHSC:DI16-213; FMR 13703	Neocucurbitaria unguis-hominis	LN907356	LT592910	LT592979	LT593048
CBS 111112	Neocucurbitaria unguis-hominis	GQ387623	LT623222	LT623239	LT623279
CBS 112.79	Neocucurbitaria unguis-hominis	GQ387622	LT717672	LT717675	LT717682
CBS 812.95	Neopyrenochaeta acicola	GQ387602	LT623218	LT623232	LT623271
CBS 101634	N. fragariae	GQ387603	LT623217	LT623231	LT623270
CBS 119222	N. inflorescentiae	EU552153	EU552153	LT623233	LT623272
CBS 139022	N. telephoni	KM516290	KM516291	LT717678	LT717685
CBS 143033	Neopyrenochaetopsis hominis	LN907381	LT592923	LT592992	LT593061
CBS 138.96	Neosetophoma samarorum	KF251664	KF251160
CBS 135092	Neostagonospora caricis	KF251667	KF251163
CBS 135101	Neostagonospora elegiae	KF251668	KF251164
FU30120	Neostagonospora spinificis	KP676046	KP676045
CPC 26407	Neosulcatispora agaves	KT950867	KT950853
MFLUCC 13-0867	Nodulosphaeria hirta	KU708845	KU708849
MFLUCC 14-1111	Nodulosphaeria scabiosae	KU708846	KU708850
MFLUCC 17-1791	Ophiobolopsis italica	MG520959	MG520939
MFLUCC 14-1156	Ophiobolus artemisiae	KT315509	KT315508
MFLUCC 17-1787	Ophiobolus disseminans	MG520961	MG520941
MFLUCC 13-0575	Ophiobolus senecionis	KT728366	KT728365
MFLUCC 14-0525	Ophiosimulans tanaceti	KU738891	KU738890
MFLUCC 14-0033	Ophiosphaerella aquaticus	KX767089	KX767088
CBS 234.92	Paracucurbitaria italica	EU754176	LT623219	LT623235	LT623274
CBS 248.79	Paracucurbitaria corni	GQ387608	LT903672	LT900365	LT903673
MFLUCC 17-1789	Paraophiobolus arundinis	MG520965	MG520945
MFLUCC 17-0245	Paraophiobolus plantaginis	KY815010	KY797641
UMPc01	Paraphoma chlamydocopiosa		KU999072
CBS 172.70	Paraphoma chrysanthemicola	KF251669	KF251165
UMPp02	Paraphoma pye		KU999073
CBS 102875	Paraphoma radicina	KF251677	KF251173
CBS 142524	Paraphoma rhaphiolepidis	KY979813	KY979758
UMPV001	Paraphoma vinacea	KU176888	KU176884
MFLUCC 13-0386	Parastagonospora allouniseptata	KU058721	KU058711
CBS 135671	Parastagonospora caricis	KF251680	KF251176
MFLUCC 13-0375	Parastagonospora dactylidis	KU058722	KU058712
MFLUCC 13-0377	Parastagonospora italica	KU058724	KU058714
MFLUCC 13-0376	Parastagonospora minima	KU058723	KU058713
CBS 110109	Parastagonospora nodorum	KF251681	KF251177
CBS 136776	Parastagonospora poagena	KJ869174	KJ869116
MFLUCC 13-0387	Parastagonospora uniseptata	KU058725	KU058715
CBS 135981	Parastagonosporella fallopiae	MH460545	MH460543
CCTU 1151.1	Parastagonosporella fallopiae	MH460546	MH460544
MFLUCC 17-0056	Phaeopoacea festucae	KY824767	KY824766
CBS 110110	Phaeosphaeria oryzae	KF251689	KF251186
CBS 135416	Phaeosphaeria papayae	KF251690	KF251187
CBS 653.86	Phaeosphaeriopsis glaucopunctata	KF251702	KF251199
MFLUCC 15-0702	Poaceicola arundinis	KU058726	KU058716
MFLUCC 13-0267	Poaceicola italica	KX910094	KX926421
MFLUCC 15-0651	Populocrescentia forlicesenensis	KT306952	KT306948
MFLU 17-0925	Pseudoophiobolus achilleae	MG520966	MG520946
MFLUCC 17-1784	Pseudoophiobolus mathieui	MG520969	MG520949
MFLUCC 14-0259	Pseudophaeosphaeria rubi	KX765299	KX765298
CBS 306.65	Pseudopyrenochaeta lycopersici	EU754205	NR_103581	LT717674	LT717680
CBS 282.72	Pseudopyrenochaeta terretris	LT623216	LT623228	LT623246	LT623287
CBS 407.76	Pyrenochaeta nobilis	EU754206	EU930011	KT389845	LT623276
UTHSC:DI16-225; FMR 13715	Pyrenochaetopsis americana	LN907368	LT592912	LT592981	LT593050
UTHSC:DI16-289; FMR 13781	Pyrenochaetopsis botulispora	LN907432	LT592941	LT593010	LT593080
UTHSC:DI16-297; FMR 13790	Pyrenochaetopsis botulispora	LN907440	LT592945	LT593014	LT593084
CBS 142458	Pyrenochaetopsis botulispora	LN907441	LT592946	LT593015	LT593085
CBS 142459	Pyrenochaetopsis confluens	LN907446	LT592950	LT593019	LT593089
CBS 343.85	Pyrenochaetopsis decipiens	GQ387624	LT623223	LT623240	LT623280
CBS 143034	Pyrenochaetopsis globosa	LN907418	LT592934	LT593003	LT593072
